author,text,published_at,like_count
@RecorderRomania,Acest documentar n-ar fi fost posibil fără contribuția donatorilor Recorder. Găsiți toate variantele de susținere aici: https://bit.ly/3AJnUvc,2024-11-17T16:32:21Z,2778
@Leul_alb24,A fost cel mai eșuat președinte!!!,2025-05-11T10:59:27Z,0
@ucuistrate5747,"A ajutat nepotul cu firma in Ro. Cu angajați cu calificare care au dat in judecata firma pentru neplata salariului corect in germania SI adevărul nu a ieșit la iveala AVAND actele cu orele muncite...termene încredere respect. Vrem bani ca afara SI nu ca in tara...Advocate corupti in Sibiu sau fricosi . Am acte pt.munca depusa. El conducea PORSE SI eu am primit 1,2 din salariu care era diurna in germania. Tribunalul din Sibiu nu a rezolvat problema nici azi . Locuia linga Stuttgart SI sper sa nu ne intilnim...Apropo...Sa i-ti traiasca fetita nascuta Cand nu ne-ai dat banii putini muncit pe brânci. ❤😂😂😂.Cine rade la urma rade mai bine SANT aproape de adevăr tine Elotec. 1 stunde maxim.",2025-05-10T23:58:17Z,0
@pananicusor4025,Cel mai 0 președinte din istorie o lepra,2025-05-10T21:03:25Z,0
@pananicusor4025,Cei mai 10 ani pierduti de România,2025-05-10T20:59:48Z,0
@TheALiEN717,"A fost , a venit , a plecat ..",2025-05-10T17:10:11Z,0
@violetyosu0118,Nu am înțeles niciodată cum puteai vota Johannis.,2025-05-04T02:06:13Z,0
@w_grigorasalexandru_w8135,Nu aveți cu cine vota.,2025-05-04T01:42:10Z,0
@corynella,"Rog să nu mai fim atât de meschini!!! Am fost atât de mândri de Iohannis de fiecare dată când a fost plecat pe oriunde si ne-a reprezentat/ făcut cinste cu brio! Vorbește foarte bine engleză,germană, franceză,etc(față de toți președinții pe care i-am avut din 89’ până acum). Așa ca, haideți să nu mai rămânem aceleași tarfe,așa cum am fost în toată istoria europeană întotdeauna! 
Da, ca președinte ar fi trebuit să fi fost mai comunicativ și mai apropiat de popor, dar dacă ne uităm în constituție, ne-a reprezentat cel mai bine ca președinte!  
Așa ca nu ar trebui să dăm mai mult în el decât în BASESCU (care a vândut absolut tot ce a-a putut vinde pe mandatul lui), sau decât Iliescu, care a început cu vandutul tarii! Chiar nu suntem toți imbecili!👌🏼",2025-05-02T20:57:50Z,0
@veronicagiurcaneanu1198,💪🏻,2025-05-01T17:50:19Z,0
@NistorAna-z2l,"D-le V. Orban va rog sa pastrati acest documentar ,o sa fie f.util in vederea descoperiri unor aspecte ...",2025-05-01T11:55:02Z,0
@NistorAna-z2l,"Pentru ca lumea nu stia cine l-a trimis ,cine l-a numit si cu c'è intentie ... Important este ca legea boomerangului funzioneza. Asteptam ... Vom trai si vom vedea.",2025-05-01T10:11:16Z,0
